Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chpt1_1_05fa870d		第一章 还没做完	game/chpts/chpt1.rpy	4	"[what]"
chpt1_1_1834d120	me	……	game/chpts/chpt1.rpy	6	me "[what]"
chpt1_1_1834d120_1	me	……	game/chpts/chpt1.rpy	7	me "[what]"
chpt1_1_aa879eed		睁开眼睛，我发现自己躺在学校的走廊上，周围的一切如此熟悉而又陌生。	game/chpts/chpt1.rpy	9	"[what]"
chpt1_1_dfa5a189	Zhizi	あ、すみません。（对不起。）	game/chpts/chpt1.rpy	12	Zhizi "[what]"
chpt1_1_8cb81507		耳边突然传来了熟悉的声音。	game/chpts/chpt1.rpy	13	"[what]"
chpt1_1_1e91b089		抬头望去，穿着日式校服的美少女正惊讶地望着自己。	game/chpts/chpt1.rpy	14	"[what]"
chpt1_1_c72de717	me	と、ともこちゃん？（智子？）	game/chpts/chpt1.rpy	17	me "[what]"
chpt1_1_f5f23930		面对突然出现的高桥智子，我一时没缓过神来，对方也显得非常惊讶。	game/chpts/chpt1.rpy	18	"[what]"
chpt1_1_aab9c8c5	me	お久しぶり。（好久不见。）	game/chpts/chpt1.rpy	21	me "[what]"
chpt1_1_8efdda92	Zhizi	おひさ……しぶり？（好久……不见吗？）	game/chpts/chpt1.rpy	24	Zhizi "[what]"
chpt1_1_1f057098		眼前的智子和十年前一模一样，我心里顿时百感交集。当年我正是在这个走廊上与智子偶遇的。	game/chpts/chpt1.rpy	26	"[what]"
chpt1_1_882a7e9c		当时我正飞奔去老师的办公室，来不及躲避拐角处出现的智子，一个踉跄跌倒在地上。	game/chpts/chpt1.rpy	27	"[what]"
chpt1_1_2cc5e506		我想象过无数次重逢的场景，万万没想到竟然又是如此狼狈，真是太丢脸了。	game/chpts/chpt1.rpy	28	"[what]"
chpt1_1_d632a393		智子还是那么温柔。声音、相貌、表情、服装都没有任何改变……	game/chpts/chpt1.rpy	29	"[what]"
chpt1_1_442941ca		……	game/chpts/chpt1.rpy	30	"[what]"
chpt1_1_afce3cc0		为什么她还穿着当年的校服？	game/chpts/chpt1.rpy	31	"[what]"
chpt1_1_1d984c07	Zhizi	大丈夫ですか？（你没事吧？）	game/chpts/chpt1.rpy	33	Zhizi "[what]"
chpt1_1_bada61ac		看到满脸狐疑的智子，我的脑海中浮现出一个奇妙的想法。如果我的直觉没错的话……	game/chpts/chpt1.rpy	34	"[what]"
chpt1_1_9afa4d3e		我慌忙爬了起来，往教室跑去。那里有我想要知道的答案……	game/chpts/chpt1.rpy	35	"[what]"
chpt1_1_d608514c	ZhouXiaoyu	哎呀，王浩，你着什么急啊，还没上课呢。	game/chpts/chpt1.rpy	38	ZhouXiaoyu "[what]"
chpt1_1_373df781		从教室里走出来的周小雨一脸不满的表情。	game/chpts/chpt1.rpy	39	"[what]"
chpt1_1_67844d94	me	班长，那个……	game/chpts/chpt1.rpy	42	me "[what]"
chpt1_1_f9473541	ZhouXiaoyu	班长？你怎么知道我要竞选班长？哈哈，下周才定呢，这么着急拍马屁啊。 	game/chpts/chpt1.rpy	45	ZhouXiaoyu "[what]"
chpt1_1_3cb05a6f	me	竞选？	game/chpts/chpt1.rpy	48	me "[what]"
chpt1_1_c8537939	ZhouXiaoyu	对啊。你怎么愣住了？	game/chpts/chpt1.rpy	51	ZhouXiaoyu "[what]"
